# label=tilt  fov_half_deg=15.00000000
capture_idx,pan_rad,tilt_rad,ldir_x,ldir_y,lmean_x,lmean_y,pt_x,pt_y
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66203375,-0.10235881
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66304503,-0.09835340
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66393304,-0.09432536
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66469753,-0.09027668
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66513975,-0.08618361
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66625152,-0.08217420
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66584933,-0.07797992
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66591770,-0.07384877
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66556261,-0.06967824
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66538053,-0.06553429
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66497349,-0.06137682
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66434127,-0.05720965
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66448040,-0.05311630
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66359710,-0.04894984
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66248815,-0.04478273
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66235121,-0.04069240
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.65979265,-0.03647296
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.65980429,-0.03241404
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.66019055,-0.02837352
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.65705450,-0.02420066
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.65519153,-0.02010723
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.65410291,-0.01605721
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.65178955,-0.01199938
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.65285082,-0.00801211
0,0.00000000,-0.26389378,-0.18665243,0.98242601,0.64513937,0.03237694,0.65108772,-0.00399509
