# label=pan  fov_half_deg=15.00000000
capture_idx,pan_rad,tilt_rad,ldir_x,ldir_y,lmean_x,lmean_y,pt_x,pt_y
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.39481647,-0.10406165
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.39496330,-0.10151267
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.39567576,-0.09911161
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.39695650,-0.09684783
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.39754327,-0.09441032
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.39684843,-0.09167665
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.39857434,-0.08950282
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.39872520,-0.08697028
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.39964267,-0.08460495
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40044814,-0.08221152
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40290662,-0.08014304
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40407813,-0.07780178
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40474454,-0.07535754
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40598666,-0.07301425
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40770789,-0.07074403
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40645755,-0.06796069
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40824915,-0.06568783
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40785390,-0.06305938
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40783747,-0.06049695
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40770597,-0.05792303
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40973826,-0.05564909
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.40967531,-0.05308252
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41158127,-0.05076365
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41238160,-0.04829543
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41366410,-0.04587442
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41363939,-0.04330421
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41489252,-0.04086336
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41463757,-0.03827090
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41506382,-0.03574316
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41637183,-0.03328335
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41866252,-0.03088239
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.41944277,-0.02835340
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42000810,-0.02580374
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42055792,-0.02324820
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42029313,-0.02064764
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42021209,-0.01805978
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42001521,-0.01547002
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42130165,-0.01292937
